epoch, reward, loss
557, 0.71, 1.3453
558, 1.29, 1.3545
559, 0.74, 1.3399
560, 0.59, 1.3717
561, 1.52, 1.3561
562, -0.21, 1.3457
563, 0.44, 1.3526
564, 1.77, 1.3669
565, -0.33, 1.3487
566, -0.92, 1.3596
567, 0.40, 1.3727
568, -0.52, 1.3885
569, 1.94, 1.3664
570, 0.67, 1.3614
571, 0.26, 1.3621
572, -1.47, 1.3657
573, -0.17, 1.3732
574, 0.87, 1.3627
575, 1.23, 1.3719
576, 0.43, 1.3672
577, -0.13, 1.3771
578, 0.53, 1.4003
579, -0.56, 1.3770
580, 0.92, 1.4032
581, -0.53, 1.3763
582, -0.78, 1.3729
583, 0.90, 1.3875
584, 0.86, 1.3783
585, -1.08, 1.3842
586, -0.10, 1.3772
587, -1.37, 1.3932
588, -0.71, 1.4068
589, 0.15, 1.3977
590, 0.05, 1.3853
591, -1.81, 1.3918
592, 0.59, 1.3957
593, -1.00, 1.3970
594, 0.55, 1.3734
595, 0.60, 1.3847
596, -0.38, 1.4087
597, 1.66, 1.4150
598, 0.67, 1.3934
599, -0.20, 1.3886
600, 0.28, 1.3971
601, 0.41, 1.3979
602, 1.31, 1.3898
603, 0.03, 1.4108
604, -0.58, 1.4141
605, 0.27, 1.4137
606, 0.61, 1.4126
607, -0.70, 1.4082
608, -0.15, 1.3907
609, -0.15, 1.3876
610, 1.56, 1.3969
611, 0.36, 1.3983
612, -0.30, 1.3966
613, 2.71, 1.3947
614, 0.62, 1.4073
615, 0.75, 1.3914
616, 0.02, 1.4023
617, -1.70, 1.4148
618, 0.73, 1.4094
619, 0.98, 1.4112
620, 0.67, 1.3849
621, 0.40, 1.4095
622, 0.97, 1.4116
623, 0.34, 1.4266
624, -0.12, 1.4096
625, -0.01, 1.4223
626, 0.30, 1.4093
627, 0.75, 1.4166
628, 1.25, 1.4219
629, 0.05, 1.4077
630, -1.07, 1.3937
631, -0.56, 1.3977
632, 1.03, 1.4213
633, 0.13, 1.4152
634, -0.36, 1.4267
635, 0.66, 1.4057
636, 0.72, 1.4198
637, 0.54, 1.4199
638, 0.81, 1.4184
639, 0.55, 1.4310
640, -0.12, 1.4328
641, -0.76, 1.4265
642, 0.44, 1.4279
643, -0.14, 1.4234
644, -0.29, 1.4366
645, 0.70, 1.4238
646, -1.22, 1.4370
647, -0.41, 1.4152
648, 0.45, 1.4215
649, -0.30, 1.4264
650, 0.98, 1.4410
651, 0.90, 1.4353
652, -0.66, 1.4315
653, -0.42, 1.4174
654, 1.16, 1.4359
655, 1.16, 1.4405
656, -0.57, 1.4366
657, -0.27, 1.4148
658, 0.07, 1.4507
659, -0.45, 1.4272
660, -0.08, 1.4386
661, -0.06, 1.4468
662, 0.68, 1.4532
663, -0.90, 1.4364
664, -0.48, 1.4306
665, -0.32, 1.4397
666, 0.75, 1.4350
667, 0.53, 1.4470
668, 0.62, 1.4311
669, 0.60, 1.4307
670, 0.23, 1.4430
671, 0.03, 1.4387
672, -0.17, 1.4541
673, 1.49, 1.4591
674, 0.54, 1.4549
675, -1.22, 1.4587
676, -0.55, 1.4536
677, -0.57, 1.4430
678, 0.41, 1.4551
679, 0.58, 1.4449
680, -0.15, 1.4497
681, 1.06, 1.4478
682, 0.51, 1.4504
683, -0.41, 1.4506
684, 0.25, 1.4532
685, 0.41, 1.4575
686, -0.54, 1.4583
687, 0.52, 1.4413
688, -1.23, 1.4652
689, 1.49, 1.4613
690, 0.10, 1.4548
691, 0.31, 1.4836
692, -0.32, 1.4663
693, 0.93, 1.4720
694, 0.56, 1.4652
695, 0.60, 1.4628
696, -0.51, 1.4486
697, 0.41, 1.4731
698, -0.29, 1.4692
699, 0.58, 1.4592
700, -0.84, 1.4672
701, 1.29, 1.4653
702, -1.06, 1.4548
703, 0.55, 1.4691
704, 2.03, 1.4748
705, -0.53, 1.4612
706, 0.68, 1.4817
707, 0.49, 1.4810
