epoch, reward, loss
421, -0.06, 10.3534
422, 0.53, 10.3574
423, 0.65, 10.2716
424, -1.43, 10.3431
425, -0.09, 10.3029
426, 0.63, 10.3511
427, -0.89, 10.3538
428, -0.95, 10.2956
429, -0.32, 10.3592
430, 0.04, 10.3798
431, 0.34, 10.2945
432, -0.93, 10.2827
433, -0.98, 10.3351
434, -0.72, 10.3150
435, 0.07, 10.3306
436, -0.34, 10.3004
437, 0.29, 10.3329
438, -0.88, 10.1836
439, -0.34, 10.3435
440, 0.22, 10.3243
441, 0.67, 10.3234
442, -0.95, 10.2073
443, -0.22, 10.3208
444, -1.71, 10.2859
445, -0.67, 10.2368
446, 0.70, 10.3021
447, 0.64, 10.2578
448, -0.59, 10.2908
449, -0.16, 10.2976
450, -0.92, 10.3496
451, -1.14, 10.2873
452, 1.20, 10.2921
453, 0.94, 10.2512
454, -1.91, 10.3464
455, -0.47, 10.2666
456, 0.31, 10.2927
457, -0.07, 10.2570
458, 1.68, 10.3452
459, 1.22, 10.2382
460, -1.47, 10.3040
461, -0.94, 10.2500
462, -0.55, 10.2196
463, -0.88, 10.2350
464, -0.68, 10.2649
465, 0.72, 10.2334
466, -0.96, 10.3042
467, -0.38, 10.2509
468, 0.15, 10.2471
469, 0.04, 10.2399
470, 0.64, 10.2697
471, -0.03, 10.2210
472, 0.79, 10.2247
473, 1.19, 10.2264
474, 0.33, 10.2245
475, 0.30, 10.2662
476, 0.64, 10.2182
477, 0.25, 10.2049
478, 0.60, 10.2747
479, 0.69, 10.2279
480, -0.11, 10.2844
481, 1.03, 10.2410
482, 0.69, 10.2502
483, -1.61, 10.1953
484, 1.74, 10.2323
485, -0.40, 10.2024
486, -0.77, 10.1944
487, -0.99, 10.2561
488, 0.06, 10.2266
489, -0.48, 10.1944
490, -0.02, 10.2297
491, -0.16, 10.2252
492, -2.08, 10.1727
493, -0.71, 10.1948
494, -1.19, 10.3203
495, -0.30, 10.2484
496, 1.23, 10.2000
497, -0.67, 10.1591
498, 0.44, 10.2634
499, 0.57, 10.1877
500, 0.31, 10.1674
501, -1.03, 10.1389
502, -0.45, 10.2086
503, -1.11, 10.1991
504, -0.05, 10.2424
505, -0.79, 10.1493
506, 0.15, 10.2475
507, -0.19, 10.2465
508, -0.25, 10.1836
509, 0.85, 10.1884
510, 0.99, 10.2200
511, 0.02, 10.2092
512, -0.94, 10.1822
513, -2.06, 10.1290
514, 0.74, 10.2276
515, -0.09, 10.1656
516, 0.07, 10.0884
517, -0.25, 10.1480
518, 1.14, 10.2001
519, 1.20, 10.1957
520, -0.67, 10.2095
521, -1.02, 10.1454
522, -0.39, 10.2002
523, -0.53, 10.1811
524, 0.29, 10.1842
525, -0.14, 10.0708
526, -0.28, 10.1247
527, -0.50, 10.1597
528, 0.75, 10.1188
529, -0.34, 10.1219
530, 1.14, 10.1530
531, 0.56, 10.1571
532, -0.99, 10.1774
533, -0.62, 10.1076
534, -0.78, 10.0804
535, -0.24, 10.0521
536, 0.74, 10.1226
537, -2.04, 10.1130
538, -0.84, 10.1281
539, -1.78, 10.1398
540, 1.01, 10.1329
541, 0.03, 10.1206
542, -0.39, 10.0804
543, 0.45, 10.0742
544, 0.41, 10.0239
545, 0.42, 10.1254
546, -0.75, 10.1183
547, 0.12, 10.0870
548, 0.21, 10.1065
549, 0.62, 10.0664
550, 0.47, 10.1176
551, 2.21, 10.0924
552, -1.34, 9.9965
553, -2.25, 10.1345
554, 0.04, 10.0646
555, 0.34, 10.1109
556, -0.06, 10.0289
557, 0.29, 10.0451
558, 0.01, 10.0503
559, -0.12, 10.0648
560, -1.36, 10.1042
561, 0.29, 10.0618
562, 1.82, 10.0355
563, -0.07, 10.0296
564, 1.15, 10.0274
565, 0.37, 10.0636
566, -0.08, 10.0171
567, 0.06, 10.0599
568, 1.35, 10.0487
569, 1.31, 10.0112
570, -1.38, 9.9935
571, 0.88, 9.9854
